All_conditions,Stimulation_temp,Participant_gLMS_rating,Pain,Tolerance,Low_threshold_pain,High_threshold_tolerance
47,47,50.3645970427121,Yes,Yes,0,0
47,47,51.5064467149511,Yes,Yes,0,0
47,47,38.8068278935122,Yes,Yes,0,0
47,47,63.2785458096388,Yes,Yes,0,0
47,47,36.1049442018323,Yes,Yes,0,0
47,47,56.7873862513298,Yes,Yes,0,0
45,45,NaN,Yes,Yes,0,0
47,47,49.6062978506419,Yes,Yes,0,0
47,47,45.1818907524972,Yes,Yes,0,0
48.9,48.9,66.4909597758075,Yes,No,0,0
48.9,48.9,66.3408698225754,Yes,Yes,0,0
45,45,15.2668284473282,No,Yes,0,0
1,45.1,25.0546725702862,No,Yes,45.1,48.8
1,46.1,33.6563244324056,Yes,Yes,46.1,48.8
1,45.8,39.0063947534095,Yes,Yes,45.8,48.8
2,48.8,68.4709931181609,Yes,No,45.6,48.8
2,47.9,57.6781447632814,Yes,No,45.6,47.9
2,46.9,59.7150716505978,Yes,Yes,45.6,46.9
2,47,55.90332409065,Yes,Yes,45.6,47
2,47.1,60.9453959009229,Yes,Yes,45.6,47.1
2,47.2,39.720334946407,Yes,Yes,45.6,47.2
1,45.6,31.3622524369386,Yes,Yes,45.6,47.3
1,45.5,14.9481190518849,No,Yes,45.5,47.3
1,45.9,30.284045150236,Yes,Yes,45.9,47.3
