All_conditions,Stimulation_temp,Participant_gLMS_rating,Pain,Tolerance,Low_threshold_pain,High_threshold_tolerance
47,47,36.9995258851073,Yes,Yes,0,0
47,47,56.0346395557921,Yes,Yes,0,0
47,47,33.3689861949349,Yes,Yes,0,0
47,47,52.229549380216,Yes,Yes,0,0
47,47,51.3997920498425,Yes,Yes,0,0
47,47,48.4109449553557,Yes,Yes,0,0
45,45,21.9110873376723,No,Yes,0,0
45,45,15.6773265242494,No,Yes,0,0
48.9,48.9,80.9806775686183,Yes,Yes,0,0
47,47,75.7499673021964,Yes,Yes,0,0
47,47,53.0535719728928,Yes,Yes,0,0
48.9,48.9,100.766626711699,Yes,Yes,0,0
2,48.9,105.077870143936,Yes,Yes,46.2,48.9
1,46.2,38.9623174785771,No,Yes,46.2,48.9
1,46.7,31.1436484983015,Yes,Yes,46.7,48.9
2,48.9,118.209454441773,Yes,Yes,46.5,48.9
2,48.9,117.295669760752,Yes,Yes,46.5,48.9
1,46.5,36.0462953723659,No,Yes,46.5,48.9
1,46.7,40.0853816375922,Yes,Yes,46.7,48.9
2,48.9,86.9806032237831,Yes,Yes,46.7,48.9
2,48.9,128.080887779023,Yes,Yes,46.7,48.9
1,46.7,58.2723450069965,Yes,Yes,46.7,48.9
1,46.7,41.0403341706861,Yes,Yes,46.7,48.9
2,48.9,105.547376742435,Yes,Yes,46.7,48.9
